sname,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
       ,     ,Alameda,17476,4120,25,25,25,24,2879,69.88,2017-18
,Alameda County Office of Education,Alameda,249,16,20,19,20,20,8,50.00,2017-18
Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,93,16,20,19,20,20,8,50.00,2017-18
California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Spec,Alameda,76,26,12,15,15,16,0,0.00,2017-18
,Alameda Unified,Alameda,946,222,26,27,25,25,190,85.59,2017-18
Alameda Science and Technology Institute,Alameda Unified,Alameda,44,16,27,28,27,26,15,93.75,2017-18
Nea Community Learning Center,Alameda Unified,Alameda,30,2,*,*,*,*,*,*,2017-18
Alameda High,Alameda Unified,Alameda,447,137,27,27,26,26,120,87.59,2017-18
Alameda Community Learning Center,Alameda Unified,Alameda,44,6,*,*,*,*,*,*,2017-18
Alternatives in Action,Alameda Unified,Alameda,34,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Encinal Junior/Senior High,Alameda Unified,Alameda,265,61,25,26,23,23,48,78.69,2017-18
,Albany City Unified,Alameda,279,91,29,29,28,27,85,93.41,2017-18
Albany High,Albany City Unified,Alameda,269,91,29,29,28,27,85,93.41,2017-18
,Berkeley Unified,Alameda,878,290,25,26,24,24,200,68.97,2017-18
REALM Charter High,Berkeley Unified,Alameda,86,7,*,*,*,*,*,*,2017-18
Berkeley High,Berkeley Unified,Alameda,746,281,25,26,24,24,199,70.82,2017-18
Berkeley Technology Academy,Berkeley Unified,Alameda,37,2,*,*,*,*,*,*,2017-18
,Castro Valley Unified,Alameda,775,173,26,26,26,25,139,80.35,2017-18
Castro Valley High,Castro Valley Unified,Alameda,713,173,26,26,26,25,139,80.35,2017-18
,Emery Unified,Alameda,39,9,*,*,*,*,*,*,2017-18
Emery Secondary,Emery Unified,Alameda,39,9,*,*,*,*,*,*,2017-18
,Fremont Unified,Alameda,2686,683,30,29,30,28,623,91.22,2017-18
American High,Fremont Unified,Alameda,484,131,30,29,29,28,123,93.89,2017-18
Circle of Independent Learning,Fremont Unified,Alameda,74,4,*,*,*,*,*,*,2017-18
Irvington High,Fremont Unified,Alameda,609,189,30,29,30,29,175,92.59,2017-18
John F. Kennedy High,Fremont Unified,Alameda,390,54,23,24,24,23,34,62.96,2017-18
Mission San Jose High,Fremont Unified,Alameda,526,210,32,31,32,30,204,97.14,2017-18
Washington High,Fremont Unified,Alameda,478,95,28,27,28,26,84,88.42,2017-18
,Hayward Unified,Alameda,1655,367,19,20,20,19,140,38.15,2017-18
Leadership Public Schools - Hayward,Hayward Unified,Alameda,148,141,18,18,20,19,45,31.91,2017-18
Impact Academy of Arts & Technology,Hayward Unified,Alameda,103,10,*,*,*,*,*,*,2017-18
Silver Oak High Public Montessori Charter,Hayward Unified,Alameda,27,18,20,21,20,20,10,55.56,2017-18
Hayward High,Hayward Unified,Alameda,362,96,19,20,19,19,35,36.46,2017-18
Mt. Eden High,Hayward Unified,Alameda,469,81,20,21,21,20,37,45.68,2017-18
Tennyson High,Hayward Unified,Alameda,353,21,21,21,21,21,10,47.62,2017-18
,Livermore Valley Joint Unified,Alameda,1091,256,25,26,26,25,220,85.94,2017-18
Vineyard Alternative,Livermore Valley Joint Unified,Alameda,53,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Granada High,Livermore Valley Joint Unified,Alameda,513,148,25,26,26,25,126,85.14,2017-18
Livermore High,Livermore Valley Joint Unified,Alameda,464,106,25,26,25,25,92,86.79,2017-18
,Newark Unified,Alameda,462,37,22,24,22,22,21,56.76,2017-18
Newark Memorial High,Newark Unified,Alameda,399,37,22,24,22,22,21,56.76,2017-18
Crossroads High (Alternative),Newark Unified,Alameda,23,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,New Haven Unified,Alameda,1159,154,24,25,25,23,104,67.53,2017-18
Decoto School for Independent Study,New Haven Unified,Alameda,57,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
James Logan High,New Haven Unified,Alameda,976,154,24,25,25,23,104,67.53,2017-18
,Oakland Unified,Alameda,3315,644,19,20,20,19,226,35.09,2017-18
Oakland Unity High,Oakland Unified,Alameda,72,56,15,17,17,17,6,10.71,2017-18
MetWest High,Oakland Unified,Alameda,43,3,*,*,*,*,*,*,2017-18
Bay Area Technology,Oakland Unified,Alameda,33,7,*,*,*,*,*,*,2017-18
Lighthouse Community Charter High,Oakland Unified,Alameda,59,4,*,*,*,*,*,*,2017-18
McClymonds High,Oakland Unified,Alameda,73,44,14,16,15,15,1,2.27,2017-18
American Indian Public High,Oakland Unified,Alameda,69,8,*,*,*,*,*,*,2017-18
Coliseum College Prep Academy,Oakland Unified,Alameda,67,4,*,*,*,*,*,*,2017-18
Oakland Charter High,Oakland Unified,Alameda,91,33,23,22,23,21,18,54.55,2017-18
ARISE High,Oakland Unified,Alameda,60,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Civicorps Corpsmember Academy,Oakland Unified,Alameda,71,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Oakland International High,Oakland Unified,Alameda,95,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,70,18,15,15,17,14,4,22.22,2017-18
Gateway to College at Laney College,Oakland Unified,Alameda,83,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Castlemont High,Oakland Unified,Alameda,135,6,*,*,*,*,*,*,2017-18
Fremont High,Oakland Unified,Alameda,146,18,15,18,17,17,2,11.11,2017-18
LPS Oakland R & D Campus,Oakland Unified,Alameda,62,56,14,16,17,17,7,12.50,2017-18
