,School Name,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,AvgScrTotal,NumGE21,PctGE21,Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),AggregateLevel,County Name,District Name,Dropout (Count),Dropout (Rate),"Enrollment 
(Ages 5-17)","Enrollment 
(K-12)","FRPM Count 
(Ages 5-17)","FRPM Count 
(K-12)","Free Meal 
Count 
(Ages 5-17)","Free Meal 
Count 
(K-12)",GED Completer (Count),GED Completer (Rate),Golden State Seal Merit Diploma (Count),Golden State Seal Merit Diploma (Rate,Met UC/CSU Grad Req's (Rate),PctGE21,"Percent (%) 
Eligible FRPM 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(K-12)","Percent (%) 
Eligible Free 
(Ages 5-17)","Percent (%) 
Eligible Free 
(K-12)",Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate)
0,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,93,16,20.0,19.0,20.0,20.0,19.75,8.0,50.0,0.0,0.0,,,,3.0,5.2,401,413,299,308,258,265,0.0,0.0,0.0,0.0,100.0,50.0,0.74563591,0.745762712,0.643391521,0.641646489,54.0,93.1
56,Alameda Science and Technology Institute,Alameda Unified,Alameda,44,16,27.0,28.0,27.0,26.0,27.0,15.0,93.75,0.0,0.0,,,,0.0,0.0,184,187,56,58,50,52,0.0,0.0,19.0,73.1,100.0,93.75,0.304347826,0.310160428,0.27173913,0.27807486600000003,26.0,100.0
100,Alameda High,Alameda Unified,Alameda,447,137,27.0,27.0,26.0,26.0,26.5,120.0,87.59,0.0,0.0,,,,1.0,0.5,1688,1776,382,410,346,371,0.0,0.0,120.0,62.2,68.9,87.59,0.226303318,0.23085585600000003,0.204976303,0.208896396,193.0,97.0
220,Albany High,Albany City Unified,Alameda,269,91,29.0,29.0,28.0,27.0,28.25,85.0,93.41,0.0,0.0,,,,4.0,2.7,1108,1129,223,232,196,202,0.0,0.0,85.0,60.7,72.1,93.41,0.20126353800000002,0.205491585,0.176895307,0.178919398,140.0,93.3
288,REALM Charter High,Berkeley Unified,Alameda,86,7,,,,,,,,0.0,0.0,,,,1.0,2.5,335,344,244,251,207,213,0.0,0.0,26.0,68.4,65.8,,0.728358209,0.729651163,0.617910448,0.619186047,38.0,95.0
340,Berkeley High,Berkeley Unified,Alameda,746,281,25.0,26.0,24.0,24.0,24.75,199.0,70.82,0.0,0.0,,,,31.0,7.3,3038,3117,857,884,783,809,0.0,0.0,19.0,5.0,74.2,70.82,0.28209348300000003,0.28360603100000004,0.257735352,0.259544434,380.0,90.0
404,Castro Valley High,Castro Valley Unified,Alameda,713,173,26.0,26.0,26.0,25.0,25.75,139.0,80.35,0.0,0.0,,,,3.0,0.8,2884,2934,685,698,566,578,0.0,0.0,181.0,48.7,43.3,80.35,0.237517337,0.237900477,0.19625520100000002,0.19700068199999998,372.0,97.1
472,Emery Secondary,Emery Unified,Alameda,39,9,,,,,,,,0.0,0.0,,,,0.0,0.0,175,179,130,132,115,117,0.0,0.0,1.0,4.3,34.8,,0.7428571429999999,0.7374301679999999,0.6571428570000001,0.653631285,23.0,100.0
528,American High,Fremont Unified,Alameda,484,131,30.0,29.0,29.0,28.0,29.0,123.0,93.89,0.0,0.0,,,,1.0,0.4,2249,2273,426,439,358,371,0.0,0.0,146.0,61.3,79.4,93.89,0.18941751899999998,0.19313682399999998,0.159181859,0.163220414,238.0,97.5
592,Irvington High,Fremont Unified,Alameda,609,189,30.0,29.0,30.0,29.0,29.5,175.0,92.59,0.0,0.0,,,,6.0,2.1,2338,2360,354,358,301,305,0.0,0.0,177.0,64.8,67.4,92.59,0.151411463,0.151694915,0.128742515,0.129237288,273.0,95.8
